Initial Probabilities:
P(a) = 0.06137408374
P(b) = 0.01209467015
P(c) = 0.02802211455
P(d) = 0.02649397441
P(e) = 0.1049757734
P(f) = 0.01928189837
P(g) = 0.01583426513
P(h) = 0.03892408995
P(i) = 0.06334327246
P(j) = 0.0006149832277
P(k) = 0.003472481054
P(l) = 0.03704808051
P(m) = 0.02200894521
P(n) = 0.05686420673
P(o) = 0.06960491987
P(p) = 0.01890296931
P(q) = 0.0008883091067
P(r) = 0.04801838738
P(s) = 0.05635482669
P(t) = 0.08033917257
P(u) = 0.02306497702
P(v) = 0.01113181762
P(w) = 0.01292085973
P(x) = 0.001615107467
P(y) = 0.01721331842
P(z) = 0.0007267983600
P( _ ) = 0.1688594857

Emission Probabilities:
P(Et | Xt)
P(a|a) =0.794791561522
P(b|a) =0.000100938730191
P(c|a) =0.000100938730191
P(d|a) =0.000100938730191
P(e|a) =0.000100938730191
P(f|a) =0.000100938730191
P(g|a) =0.000100938730191
P(h|a) =0.000100938730191
P(i|a) =0.000100938730191
P(j|a) =0.000100938730191
P(k|a) =0.000100938730191
P(l|a) =0.000100938730191
P(m|a) =0.000100938730191
P(n|a) =0.000100938730191
P(o|a) =0.000100938730191
P(p|a) =0.000100938730191
P(q|a) =0.068234581609
P(r|a) =0.000100938730191
P(s|a) =0.0688402139901
P(t|a) =0.000100938730191
P(u|a) =0.000100938730191
P(v|a) =0.000100938730191
P(w|a) =0.000100938730191
P(x|a) =0.000100938730191
P(y|a) =0.000100938730191
P(z|a) =0.0658120520844
P(a|b) =0.000506585612969
P(b|b) =0.798885511651
P(c|b) =0.000506585612969
P(d|b) =0.000506585612969
P(e|b) =0.000506585612969
P(f|b) =0.000506585612969
P(g|b) =0.0460992907801
P(h|b) =0.0435663627153
P(i|b) =0.000506585612969
P(j|b) =0.000506585612969
P(k|b) =0.000506585612969
P(l|b) =0.000506585612969
P(m|b) =0.000506585612969
P(n|b) =0.0531914893617
P(o|b) =0.000506585612969
P(p|b) =0.000506585612969
P(q|b) =0.000506585612969
P(r|b) =0.000506585612969
P(s|b) =0.000506585612969
P(t|b) =0.000506585612969
P(u|b) =0.000506585612969
P(v|b) =0.0471124620061
P(w|b) =0.000506585612969
P(x|b) =0.000506585612969
P(y|b) =0.000506585612969
P(z|b) =0.000506585612969
P(a|c) =0.000220361392684
P(b|c) =0.000220361392684
P(c|c) =0.793521375055
P(d|c) =0.0449537241075
P(e|c) =0.000220361392684
P(f|c) =0.0528867342442
P(g|c) =0.000220361392684
P(h|c) =0.000220361392684
P(i|c) =0.000220361392684
P(j|c) =0.000220361392684
P(k|c) =0.000220361392684
P(l|c) =0.000220361392684
P(m|c) =0.000220361392684
P(n|c) =0.000220361392684
P(o|c) =0.000220361392684
P(p|c) =0.000220361392684
P(q|c) =0.000220361392684
P(r|c) =0.000220361392684
P(s|c) =0.000220361392684
P(t|c) =0.000220361392684
P(u|c) =0.000220361392684
P(v|c) =0.0537681798149
P(w|c) =0.000220361392684
P(x|c) =0.0500220361393
P(y|c) =0.000220361392684
P(z|c) =0.000220361392684
P(a|d) =0.000232991612302
P(b|d) =0.000232991612302
P(c|d) =0.0410065237651
P(d|d) =0.801025163094
P(e|d) =0.0405405405405
P(f|d) =0.0337837837838
P(g|d) =0.000232991612302
P(h|d) =0.000232991612302
P(i|d) =0.000232991612302
P(j|d) =0.000232991612302
P(k|d) =0.000232991612302
P(l|d) =0.000232991612302
P(m|d) =0.000232991612302
P(n|d) =0.000232991612302
P(o|d) =0.000232991612302
P(p|d) =0.000232991612302
P(q|d) =0.000232991612302
P(r|d) =0.000232991612302
P(s|d) =0.0405405405405
P(t|d) =0.000232991612302
P(u|d) =0.000232991612302
P(v|d) =0.000232991612302
P(w|d) =0.000232991612302
P(x|d) =0.0382106244175
P(y|d) =0.000232991612302
P(z|d) =0.000232991612302
P(a|e) =5.9080704242e-05
P(b|e) =5.9080704242e-05
P(c|e) =5.9080704242e-05
P(d|e) =0.0663476308638
P(e|e) =0.800661703888
P(f|e) =5.9080704242e-05
P(g|e) =5.9080704242e-05
P(h|e) =5.9080704242e-05
P(i|e) =5.9080704242e-05
P(j|e) =5.9080704242e-05
P(k|e) =5.9080704242e-05
P(l|e) =5.9080704242e-05
P(m|e) =5.9080704242e-05
P(n|e) =5.9080704242e-05
P(o|e) =5.9080704242e-05
P(p|e) =5.9080704242e-05
P(q|e) =5.9080704242e-05
P(r|e) =0.0648115325535
P(s|e) =5.9080704242e-05
P(t|e) =5.9080704242e-05
P(u|e) =5.9080704242e-05
P(v|e) =5.9080704242e-05
P(w|e) =0.0668202764977
P(x|e) =5.9080704242e-05
P(y|e) =5.9080704242e-05
P(z|e) =5.9080704242e-05
P(a|f) =0.000319386777387
P(b|f) =0.000319386777387
P(c|f) =0.0335356116257
P(d|f) =0.0309805174066
P(e|f) =0.000319386777387
P(f|f) =0.802618971575
P(g|f) =0.0360907058448
P(h|f) =0.000319386777387
P(i|f) =0.000319386777387
P(j|f) =0.000319386777387
P(k|f) =0.000319386777387
P(l|f) =0.000319386777387
P(m|f) =0.000319386777387
P(n|f) =0.000319386777387
P(o|f) =0.000319386777387
P(p|f) =0.000319386777387
P(q|f) =0.000319386777387
P(r|f) =0.0290641967423
P(s|f) =0.000319386777387
P(t|f) =0.0325774512935
P(u|f) =0.000319386777387
P(v|f) =0.0287448099649
P(w|f) =0.000319386777387
P(x|f) =0.000319386777387
P(y|f) =0.000319386777387
P(z|f) =0.000319386777387
P(a|g) =0.000388198757764
P(b|g) =0.0419254658385
P(c|g) =0.000388198757764
P(d|g) =0.000388198757764
P(e|g) =0.000388198757764
P(f|g) =0.0415372670807
P(g|g) =0.800465838509
P(h|g) =0.0306677018634
P(i|g) =0.000388198757764
P(j|g) =0.000388198757764
P(k|g) =0.000388198757764
P(l|g) =0.000388198757764
P(m|g) =0.000388198757764
P(n|g) =0.000388198757764
P(o|g) =0.000388198757764
P(p|g) =0.000388198757764
P(q|g) =0.000388198757764
P(r|g) =0.000388198757764
P(s|g) =0.000388198757764
P(t|g) =0.041149068323
P(u|g) =0.000388198757764
P(v|g) =0.036102484472
P(w|g) =0.000388198757764
P(x|g) =0.000388198757764
P(y|g) =0.000388198757764
P(z|g) =0.000388198757764
P(a|h) =0.000158906721754
P(b|h) =0.0436993484824
P(c|h) =0.000158906721754
P(d|h) =0.000158906721754
P(e|h) =0.000158906721754
P(f|h) =0.000158906721754
P(g|h) =0.0398855871603
P(h|h) =0.791037660893
P(i|h) =0.000158906721754
P(j|h) =0.0389321468298
P(k|h) =0.000158906721754
P(l|h) =0.000158906721754
P(m|h) =0.000158906721754
P(n|h) =0.0451295089782
P(o|h) =0.000158906721754
P(p|h) =0.000158906721754
P(q|h) =0.000158906721754
P(r|h) =0.000158906721754
P(s|h) =0.000158906721754
P(t|h) =0.000158906721754
P(u|h) =0.000158906721754
P(v|h) =0.000158906721754
P(w|h) =0.000158906721754
P(x|h) =0.000158906721754
P(y|h) =0.0379787064993
P(z|h) =0.000158906721754
P(a|i) =9.78090766823e-05
P(b|i) =9.78090766823e-05
P(c|i) =9.78090766823e-05
P(d|i) =9.78090766823e-05
